iter	Passed	Remaining
0	48	242442
1	74	186053
2	100	167093
3	125	156591
4	149	149594
5	174	145522
6	200	143354
7	224	140377
8	249	138263
9	274	136826
10	299	135826
11	325	135289
12	350	134528
13	376	134158
14	403	134054
15	429	133703
16	454	133233
17	479	132657
18	505	132397
19	531	132386
20	558	132302
21	584	132368
22	610	132102
23	636	131940
24	662	131899
25	690	132037
26	716	131884
27	743	132072
28	770	132035
29	796	132033
30	822	131845
31	848	131711
32	874	131651
33	900	131500
34	926	131426
35	952	131282
36	978	131217
37	1005	131291
38	1032	131296
39	1058	131219
40	1083	131088
41	1109	131004
42	1135	130934
43	1162	130895
44	1188	130829
45	1213	130693
46	1239	130671
47	1266	130621
48	1291	130542
49	1318	130537
50	1345	130527
51	1372	130600
52	1398	130548
53	1424	130508
54	1451	130484
55	1477	130435
56	1503	130374
57	1530	130367
58	1555	130307
59	1582	130259
60	1608	130211
61	1634	130199
62	1661	130212
63	1688	130255
64	1718	130494
65	1760	131610
66	1795	132181
67	1841	133570
68	1874	133932
69	1907	134376
70	1942	134829
71	1971	134950
72	2008	135587
73	2055	136820
74	2095	137577
75	2133	138251
76	2173	138957
77	2214	139747
78	2259	140730
79	2302	141605
80	2359	143316
81	2406	144358
82	2455	145490
83	2504	146586
84	2554	147710
85	2599	148512
86	2643	149292
87	2690	150175
88	2735	150963
89	2780	151701
90	2824	152387
91	2873	153298
92	2918	153971
93	2967	154869
94	3015	155679
95	3060	156352
96	3105	156972
97	3152	157713
98	3198	158363
99	3249	159210
100	3294	159813
101	3343	160556
102	3390	161175
103	3438	161866
104	3483	162406
105	3532	163104
106	3580	163747
107	3627	164302
108	3674	164877
109	3720	165392
110	3766	165886
111	3815	166499
112	3863	167067
113	3912	167669
114	3957	168106
115	4004	168586
116	4048	168979
117	4092	169331
118	4139	169774
119	4184	170165
120	4227	170450
121	4273	170872
122	4324	171466
123	4376	172078
124	4424	172548
125	4475	173129
126	4524	173623
127	4574	174122
128	4618	174410
129	4667	174861
130	4711	175125
131	4757	175436
132	4803	175783
133	4850	176123
134	4897	176494
135	4946	176919
136	4992	177226
137	5036	177451
138	5079	177647
139	5127	177985
140	5174	178311
141	5221	178634
142	5266	178881
143	5311	179128
144	5363	179583
145	5413	179987
146	5464	180399
147	5511	180692
148	5560	181035
149	5607	181309
150	5651	181497
151	5698	181760
152	5746	182031
153	5794	182337
154	5837	182467
155	5885	182746
